i,j,distance,min,max
1081,2812,847,0,1059
2256,2941,831,0,1061
755,1637,842,0,1062
1802,3078,864,0,1084
1803,2541,872,0,1085
105,2935,841,0,1089
2318,2346,845,0,1091
2327,2688,881,0,1103
892,2514,888,0,1109
907,1254,885,0,1114
907,2914,888,0,1114
1254,2914,871,0,1114
692,1857,880,0,1116
1880,2793,874,0,1119
1917,2886,889,0,1120
1849,2069,886,0,1128
2324,2677,896,0,1131
192,2141,891,0,1134
240,2493,902,0,1136
182,3042,890,0,1137
930,2112,918,0,1145
330,2085,921,0,1153
330,2690,914,0,1153
2085,2690,910,0,1153
294,316,924,0,1154
341,2804,910,0,1157
230,2265,921,0,1158
928,1859,889,0,1159
928,3044,958,0,1159
1859,3044,956,0,1159
400,407,0,0,1161
400,2717,920,0,1161
400,3013,915,0,1161
407,2717,920,0,1161
407,3013,915,0,1161
2717,3013,922,0,1161
733,1493,928,0,1164
58,124,931,0,1174
58,2595,930,0,1174
124,2595,930,0,1174
444,1404,927,0,1181
54,2044,947,0,1183
160,1824,918,0,1191
153,2739,962,0,1195
78,927,947,0,1197
78,2133,940,0,1197
927,2133,938,0,1197
1787,2269,924,0,1204
135,391,958,0,1206
135,1344,945,0,1206
391,1344,960,0,1206
616,1815,961,0,1209
440,2651,964,0,1211
2184,2589,952,0,1213
246,2750,952,0,1215
246,2768,964,0,1215
2750,2768,966,0,1215
8,463,955,0,1218
841,2637,978,0,1221
2042,2076,971,0,1223
591,2444,953,0,1229
591,2908,973,0,1229
2444,2908,947,0,1229
57,2205,965,0,1235
1989,2296,983,0,1236
51,65,986,0,1249
51,2512,991,0,1249
65,2512,991,0,1249
26,411,0,0,1250
921,2947,992,0,1253
44,976,994,0,1259
84,429,1001,0,1265
503,2620,1021,0,1276
2398,2468,1009,0,1279
753,1878,1011,0,1287
753,2962,1015,0,1287
1878,2962,997,0,1287
549,2799,1019,0,1288
557,2539,1049,0,1295
557,2640,1048,0,1295
2539,2640,1078,0,1295
