i,j,distance,min,max
351,1177,-1,26807,27627
351,1356,-1,26807,27627
351,2939,-1,26807,27627
253,351,-1,26804,27627
180,351,-1,26802,27627
351,379,-1,26801,27627
351,1283,-1,26799,27627
351,2612,-1,26798,27627
266,351,-1,26797,27627
351,2566,-1,26797,27627
351,2125,-1,26796,27627
351,2594,-1,26796,27627
100,351,-1,26795,27627
48,351,-1,26794,27627
351,2030,-1,26794,27627
351,2372,-1,26794,27627
351,670,-1,26793,27627
351,2396,-1,26793,27627
351,409,-1,26791,27627
351,1148,-1,26789,27627
350,351,-1,26788,27627
351,2617,-1,26787,27627
351,1708,-1,26785,27627
351,1371,-1,26784,27627
351,1896,-1,26783,27627
351,1995,-1,26783,27627
351,2778,-1,26783,27627
122,351,-1,26782,27627
351,483,-1,26780,27627
156,351,-1,26779,27627
351,1110,-1,26779,27627
114,351,-1,26778,27627
351,2414,-1,26778,27627
351,1020,-1,26776,27627
351,2068,-1,26776,27627
241,351,-1,26775,27627
111,351,-1,26772,27627
351,2498,-1,26772,27627
351,2892,-1,26772,27627
351,2142,-1,26769,27627
23,351,-1,26767,27627
351,1193,-1,26767,27627
351,1433,-1,26767,27627
351,656,-1,26766,27627
351,2699,-1,26766,27627
351,2737,-1,26765,27627
351,1962,-1,26764,27627
